YahooCD,Description
^NSEI,
BAJAJ-AUTO.NS,
BAJAJFINSV.NS,
BAJFINANCE.NS,
BHARTIARTL.NS,
BRITANNIA.NS,
CIPLA.NS,
COALINDIA.NS,
GAIL.NS,
HDFCLIFE.NS,
HEROMOTOCO.NS,
HINDALCO.NS,
ICICIBANK.NS,
INDUSINDBK.NS,
ITC.NS,
KOTAKBANK.NS,
LT.NS,
M&M.NS,
MARUTI.NS,
NESTLEIND.NS,
NTPC.NS,
ONGC.NS,
RELIANCE.NS,
SHREECEM.NS,
TATASTEEL.NS,
TCS.NS,
TECHM.NS,
TITAN.NS,
ULTRACEMCO.NS,
WIPRO.NS,
ZEEL.NS,
ADANIPORTS.NS,
ASIANPAINT.NS,
AXISBANK.NS,
BPCL.NS,
DIVISLAB.NS,
DRREDDY.NS,
EICHERMOT.NS,
GRASIM.NS,
HCLTECH.NS,
HDFC.NS,
HDFCBANK.NS,
HINDUNILVR.NS,
INFY.NS,
IOC.NS,
JSWSTEEL.NS,
POWERGRID.NS,
SBILIFE.NS,
SBIN.NS,
SUNPHARMA.NS,
TATAMOTORS.NS,
BANDHANBNK.NS,
ABBOTINDIA.NS,
ACC.NS,
ADANIGREEN.NS,
ADANITRANS.NS,
ALKEM.NS,
AMBUJACEM.NS,
AUROPHARMA.NS,
BAJAJHLDNG.NS,
BANKBARODA.NS,
BERGEPAINT.NS,
BIOCON.NS,
BOSCHLTD.NS,
CADILAHC.NS,
COLPAL.NS,
CONCOR.NS,
DABUR.NS,
DLF.NS,
DMART.NS,
GICRE.NS,
GODREJCP.NS,
HAVELLS.NS,
HDFCAMC.NS,
HINDPETRO.NS,
HINDZINC.NS,
ICICIGI.NS,
ICICIPRULI.NS,
IGL.NS,
INDIGO.NS,
LTI.NS,
LUPIN.NS,
MARICO.NS,
MCDOWELL-N.NS,
MOTHERSUMI.NS,
MUTHOOTFIN.NS,
NAUKRI.NS,
NMDC.NS,
OFSS.NS,
PEL.NS,
PETRONET.NS,
PFC.NS,
PGHH.NS,
PIDILITIND.NS,
PNB.NS,
SBICARD.NS,
SIEMENS.NS,
TATACONSUM.NS,
TORNTPHARM.NS,
UBL.NS,
PFIZER.NS,
